Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,,1.85,Honda
Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,49.14,35.67,Mercedes-Benz
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,,8.15,Maruti
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,11.81,10.5,Hyundai
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,,14.5,Porsche
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.65,Mahindra
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,,3.48,Hyundai
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,16.65,6.92,Nissan
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,,6.46,Honda
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,,29.5,Audi
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,,2.0,Ford
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,,4.5,Toyota
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,11.75,Toyota
Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,,5.0,,1.3,Hyundai
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,3.75,Maruti
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,6.67,4.5,Tata
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,,4.82,Honda
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.8,Ford
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,3.11,Maruti
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,,3.25,Honda
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,,13.9,BMW
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.25,Hyundai
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.75,Hyundai
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,,2.1,Hyundai
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,,5.0,Honda
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,16.5,Toyota
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,39.58,Audi
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,5.5,Ford
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,8.1,Mahindra
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5,Honda
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,2.79,Volkswagen
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,,3.45,Hyundai
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,4.45,Maruti
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,,2.65,Volkswagen
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,,3.8,Hyundai
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,,4.65,Hyundai
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,6.45,3.95,Datsun
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,,9.8,Audi
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,,2.7,Hyundai
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,,2.41,Maruti
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,6.41,3.9,Toyota
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,,24.0,Jaguar
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,,5.75,Mahindra
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,,5.25,Hyundai
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,27.0,19.25,Toyota
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5.13,3.91,Maruti
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,,2.15,Tata
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.43,20.75,BMW
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.35,Honda
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,11.11,Toyota
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,,20.0,Volvo
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,9.51,6.55,Nissan
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,,7.0,BMW
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.96,7.5,Maruti
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,,0.85,Hyundai
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,,16.75,Mercedes-Benz
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.44,10.95,Hyundai
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.45,Maruti
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,,3.23,Tata
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,,7.75,Mahindra
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,,9.35,Mercedes-Benz
Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,,3.25,Maruti
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,,5.25,Honda
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,,7.25,Volkswagen
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,7.47,Maruti
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,,13.25,Mahindra
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,,5.81,Maruti
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.53,2.6,Maruti
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,95.04,54.0,Mercedes-Benz
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13.49,11.5,Hyundai
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.6,Maruti
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,,17.22,BMW
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,,6.0,Honda
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.95,Honda
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,,17.95,Mercedes-Benz
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.7,Honda
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,,5.43,Maruti
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,,1.67,Hyundai
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,13.49,Toyota
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,,2.85,Chevrolet
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,,4.75,Skoda
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,9.9,Maruti
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,1.28,37.0,Audi
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,60.88,26.5,BMW
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,,23.32,Audi
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.25,Maruti
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,,30.0,Mercedes-Benz
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,,9.86,Skoda
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,,8.5,Skoda
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,,4.23,Hyundai
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.5,Volkswagen
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,,2.5,Datsun
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,,2.39,Honda
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.25,Mercedes-Benz
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,7.11,Honda
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,10.9,Toyota
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,,6.2,Maruti
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,7.9,Mahindra
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,4.42,Ford
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,13.5,Toyota
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,,6.25,Volkswagen
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,,2.1,Ford
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,,45.0,BMW
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,,33.66,Mercedes-Benz
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,,3.65,Honda
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.75,Hyundai
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,,42.5,Mercedes-Benz
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.39,6.5,Hyundai
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,,19.0,Audi
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,,4.45,Volkswagen
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,,23.0,Mini
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,8.35,Hyundai
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,22.95,Audi
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,1.5,Chevrolet
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,,6.89,Skoda
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,,1.45,Ford
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,69.47,33.5,BMW
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,,1.25,Chevrolet
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,4.2,Volkswagen
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,,6.75,Renault
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,,32.0,Mercedes-Benz
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.78,7.5,Maruti
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,4.6,Hyundai
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,4.04,Hyundai
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,,10.31,Mahindra
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,,55.76,Land
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.6,Ford
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,12.74,8.5,Maruti
Ahmedabad,2007,60006,Petrol,Manual,First,0.0,,,,,2.95,Honda
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5,Honda
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.55,Hyundai
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.25,Honda
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,,4.5,Skoda
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,,5.35,Renault
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,10.52,6.5,Mahindra
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.98,9.0,Maruti
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.0,Hyundai
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,,2.75,Skoda
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,,1.5,Tata
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,,19.9,Audi
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,,10.0,Skoda
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,,3.0,Toyota
Kolkata,2010,42001,Petrol,Manual,First,16.1,,,,,2.11,Maruti
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.96,Mercedes-Benz
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.54,3.25,Honda
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,,4.75,Hyundai
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,,5.95,Renault
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,,8.15,Hyundai
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,,4.22,Maruti
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,,10.5,Mercedes-Benz
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,,45.0,Audi
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,,2.9,Hyundai
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,,8.9,Skoda
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,33.58,26.0,Skoda
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,,8.22,Hyundai
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,,3.5,Honda
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,,1.25,Maruti
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,9.12,3.7,Mahindra
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,,39.41,Mercedes-Benz
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,5.29,2.65,Maruti
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,,8.92,Nissan
Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,,5.0,,4.1,Maruti
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,44.28,35.67,Mini
Bangalore,2015,70436,Diesel,Manual,First,0.0,1498.0,99.0,,,3.6,Ford
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,,0.85,Tata
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,,3.32,Chevrolet
Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.6,Volkswagen
Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.8,Maruti
Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,2.5,Ford
Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,20.74,19.64,Toyota
Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,,7.0,Hyundai
Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.74,3.87,Honda
Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.27,Hyundai
Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,,18.12,Mercedes-Benz
Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,2.65,Chevrolet
Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,7.2,Hyundai
Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,14.3,Toyota
Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,6.9,Maruti
Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,10.75,Toyota
Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086.0,,5.0,,0.95,Hyundai
Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,,8.09,Honda
Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,,18.5,BMW
Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,,4.75,Hyundai
Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,,8.45,Maruti
Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,,3.5,Skoda
Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,,1.8,Hyundai
Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,,3.7,Volkswagen
Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,7.17,Honda
Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,1.75,Hyundai
Kochi,2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,,21.99,Hyundai
Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,25.52,18.65,Toyota
Jaipur,2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,,1.85,Maruti
Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,,5.95,Maruti
Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,3.75,Hyundai
Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,3.75,Maruti
Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.07,2.6,Hyundai
Hyderabad,2006,99000,Petrol,Manual,First,0.0,1086.0,,5.0,,1.75,Hyundai
Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,,2.8,Hyundai
Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,95.13,61.29,Mercedes-Benz
Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,,18.0,Mercedes-Benz
Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,4.35,Maruti
Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,13.75,Hyundai
Pune,2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,,2.0,Maruti
Delhi,2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,,10.0,Renault
Delhi,2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,,1.65,Fiat
Coimbatore,2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,,45.77,BMW
